date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,111,NA
2014-10-01 01:00:00,21.5,88,2.6,106,111,Marília
2014-10-01 02:00:00,21.8,85,2.2,103,111,Marília
2014-10-01 03:00:00,21.5,85,2.1,107,111,Marília
2014-10-01 04:00:00,21.3,87,1.6,117,111,Marília
2014-10-01 05:00:00,22.6,80,1.1,76,111,Marília
2014-10-01 06:00:00,22.2,82,1.7,110,111,Marília
2014-10-01 07:00:00,22.1,80,4.2,194,111,Marília
2014-10-01 08:00:00,22.2,78,4.9,184,111,Marília
2014-10-01 09:00:00,23.9,67,4.5,161,111,Marília
2014-10-01 10:00:00,24.7,64,4.9,183,111,Marília
2014-10-01 11:00:00,27,57,3.7,144,111,Marília
2014-10-01 12:00:00,29.3,51,2.8,119,111,Marília
2014-10-01 13:00:00,31,46,1.9,104,111,Marília
2014-10-01 14:00:00,31.6,45,1.6,70,111,Marília
2014-10-01 15:00:00,28.6,54,3.5,301,111,Marília
2014-10-01 16:00:00,20.2,97,5.8,299,111,Marília
2014-10-01 17:00:00,19.1,100,3.7,305,111,Marília
2014-10-01 18:00:00,21.4,99,1.5,292,111,Marília
2014-10-01 19:00:00,21.9,75,5.1,191,111,Marília
2014-10-01 20:00:00,21.9,73,4.8,185,111,Marília
2014-10-01 21:00:00,22.6,62,3.8,189,111,Marília
2014-10-01 22:00:00,22.8,65,3.3,175,111,Marília
2014-10-01 23:00:00,22,69,1.4,262,111,Marília
2014-10-02 00:00:00,21.4,78,2.6,183,111,Marília
2014-10-02 01:00:00,20.5,89,3.5,153,111,Marília
2014-10-02 02:00:00,19.3,88,3.8,145,111,Marília
2014-10-02 03:00:00,18.4,89,4.7,147,111,Marília
2014-10-02 04:00:00,18,90,4,148,111,Marília
2014-10-02 05:00:00,18,87,4.3,148,111,Marília
2014-10-02 06:00:00,17.8,85,4.4,143,111,Marília
2014-10-02 07:00:00,17.8,83,4.8,142,111,Marília
2014-10-02 08:00:00,18.6,79,4.6,148,111,Marília
2014-10-02 09:00:00,20.5,71,4.9,149,111,Marília
2014-10-02 10:00:00,22.1,65,4.6,142,111,Marília
2014-10-02 11:00:00,23,61,4.6,145,111,Marília
2014-10-02 12:00:00,24.4,56,4.5,145,111,Marília
2014-10-02 13:00:00,25.9,53,4.2,150,111,Marília
2014-10-02 14:00:00,26.7,51,3.9,142,111,Marília
2014-10-02 15:00:00,27.7,47,3.8,162,111,Marília
2014-10-02 16:00:00,28.2,45,3.8,166,111,Marília
2014-10-02 17:00:00,27.2,46,4.3,161,111,Marília
2014-10-02 18:00:00,24.7,51,5.2,163,111,Marília
2014-10-02 19:00:00,20.9,61,5.5,155,111,Marília
2014-10-02 20:00:00,19,66,6.6,162,111,Marília
2014-10-02 21:00:00,17.8,68,6.8,158,111,Marília
2014-10-02 22:00:00,16.7,69,5.3,151,111,Marília
2014-10-02 23:00:00,15.7,69,6.4,152,111,Marília
2014-10-03 00:00:00,15,70,6.3,152,111,Marília
2014-10-03 01:00:00,14.8,66,6.4,151,111,Marília
2014-10-03 02:00:00,14.7,67,6.3,147,111,Marília
2014-10-03 03:00:00,14.5,69,4.8,137,111,Marília
2014-10-03 04:00:00,14.4,70,5.7,152,111,Marília
2014-10-03 05:00:00,14.3,70,5.3,146,111,Marília
2014-10-03 06:00:00,14.1,71,5.3,144,111,Marília
2014-10-03 07:00:00,14.1,72,5,145,111,Marília
2014-10-03 08:00:00,16.2,63,4.9,144,111,Marília
2014-10-03 09:00:00,18.5,55,5.1,129,111,Marília
2014-10-03 10:00:00,20.8,50,5.2,135,111,Marília
2014-10-03 11:00:00,22.5,46,5.7,125,111,Marília
2014-10-03 12:00:00,24.6,41,4.4,139,111,Marília
2014-10-03 13:00:00,26,37,4.5,142,111,Marília
2014-10-03 14:00:00,26.7,35,4,127,111,Marília
2014-10-03 15:00:00,27.8,34,4,152,111,Marília
2014-10-03 16:00:00,28.1,33,4,147,111,Marília
2014-10-03 17:00:00,27.3,36,4.5,155,111,Marília
2014-10-03 18:00:00,25.2,40,4.3,153,111,Marília
2014-10-03 19:00:00,21.7,48,4.6,160,111,Marília
2014-10-03 20:00:00,19,57,5.4,155,111,Marília
2014-10-03 21:00:00,17.1,63,6,158,111,Marília
2014-10-03 22:00:00,15.6,67,5.8,154,111,Marília
2014-10-03 23:00:00,14.8,69,5.8,155,111,Marília
2014-10-04 00:00:00,14.3,68,7.1,161,111,Marília
2014-10-04 01:00:00,13.7,70,5.8,153,111,Marília
2014-10-04 02:00:00,13.4,71,5.3,151,111,Marília
2014-10-04 03:00:00,13.1,72,5.3,149,111,Marília
2014-10-04 04:00:00,12.9,72,5.6,150,111,Marília
2014-10-04 05:00:00,12.6,74,4.7,141,111,Marília
2014-10-04 06:00:00,12.5,75,4.6,135,111,Marília
2014-10-04 07:00:00,12.5,74,4.4,138,111,Marília
2014-10-04 08:00:00,14.5,67,4.8,136,111,Marília
2014-10-04 09:00:00,16.4,60,5.1,127,111,Marília
2014-10-04 10:00:00,19,52,5.2,123,111,Marília
2014-10-04 11:00:00,20.9,46,5.4,119,111,Marília
2014-10-04 12:00:00,22.9,43,4.4,131,111,Marília
2014-10-04 13:00:00,24.5,40,4.1,126,111,Marília
2014-10-04 14:00:00,25.6,38,3.9,126,111,Marília
