date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,113,NA
2014-10-01 01:00:00,22.8,79,1,48,113,Piracicaba
2014-10-01 02:00:00,22.7,79,1.2,110,113,Piracicaba
2014-10-01 03:00:00,22.5,81,1.1,59,113,Piracicaba
2014-10-01 04:00:00,22.6,81,1.5,294,113,Piracicaba
2014-10-01 05:00:00,22.3,84,1.1,51,113,Piracicaba
2014-10-01 06:00:00,22,86,1.5,31,113,Piracicaba
2014-10-01 07:00:00,22.1,85,4.1,237,113,Piracicaba
2014-10-01 08:00:00,22.3,78,4.4,226,113,Piracicaba
2014-10-01 09:00:00,23.3,68,4.3,218,113,Piracicaba
2014-10-01 10:00:00,NA,58,3.5,234,113,NA
2014-10-01 11:00:00,NA,75,4.3,260,113,NA
2014-10-01 12:00:00,22.3,84,2.3,68,113,Piracicaba
2014-10-01 13:00:00,NA,70,2.6,56,113,NA
2014-10-01 14:00:00,NA,60,1.6,130,113,NA
2014-10-01 15:00:00,30,45,2.4,303,113,Piracicaba
2014-10-01 16:00:00,29.9,46,2.8,291,113,Piracicaba
2014-10-01 17:00:00,29.1,49,2.7,239,113,Piracicaba
2014-10-01 18:00:00,28.4,53,2.3,238,113,Piracicaba
2014-10-01 19:00:00,NA,56,1.7,242,113,NA
2014-10-01 20:00:00,NA,65,1.1,124,113,NA
2014-10-01 21:00:00,24.8,66,4.4,173,113,Piracicaba
2014-10-01 22:00:00,22.5,67,4.5,149,113,Piracicaba
2014-10-01 23:00:00,21.8,67,4,149,113,Piracicaba
2014-10-02 00:00:00,21.6,66,4.3,161,113,Piracicaba
2014-10-02 01:00:00,20.9,69,3.6,173,113,Piracicaba
2014-10-02 02:00:00,20.4,73,2.8,177,113,Piracicaba
2014-10-02 03:00:00,20,73,2.5,183,113,Piracicaba
2014-10-02 04:00:00,19.4,74,3,190,113,Piracicaba
2014-10-02 05:00:00,19.1,75,2.5,189,113,Piracicaba
2014-10-02 06:00:00,18.8,76,3.1,200,113,Piracicaba
2014-10-02 07:00:00,18.6,76,3.6,189,113,Piracicaba
2014-10-02 08:00:00,19.4,73,3,191,113,Piracicaba
