date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,107,NA
2014-10-01 01:00:00,22.4,97,0,777,107,Araçatuba
2014-10-01 02:00:00,22,100,0,777,107,Araçatuba
2014-10-01 03:00:00,22,100,0,777,107,Araçatuba
2014-10-01 04:00:00,21.8,100,1.1,69,107,Araçatuba
2014-10-01 05:00:00,21.4,100,0,777,107,Araçatuba
2014-10-01 06:00:00,21.6,100,0.8,78,107,Araçatuba
2014-10-01 07:00:00,21.5,100,0,777,107,Araçatuba
2014-10-01 08:00:00,22.8,98,1.3,85,107,Araçatuba
2014-10-01 09:00:00,25.2,87,1.6,80,107,Araçatuba
2014-10-01 10:00:00,27.3,74,3.8,177,107,Araçatuba
2014-10-01 11:00:00,29.2,66,4.3,160,107,Araçatuba
2014-10-01 12:00:00,30.5,60,3.8,143,107,Araçatuba
2014-10-01 13:00:00,31.8,55,3.2,129,107,Araçatuba
2014-10-01 14:00:00,32.3,53,2.8,124,107,Araçatuba
2014-10-01 15:00:00,31.4,54,2,113,107,Araçatuba
2014-10-01 16:00:00,23.3,87,6.7,222,107,Araçatuba
2014-10-01 17:00:00,23.6,80,5.3,198,107,Araçatuba
2014-10-01 18:00:00,24.2,72,2.5,198,107,Araçatuba
2014-10-01 19:00:00,24.6,69,1.5,304,107,Araçatuba
2014-10-01 20:00:00,23.3,81,2,326,107,Araçatuba
2014-10-01 21:00:00,22.6,87,1.9,164,107,Araçatuba
2014-10-01 22:00:00,22.8,85,0.8,252,107,Araçatuba
2014-10-01 23:00:00,22.5,85,1.3,261,107,Araçatuba
2014-10-02 00:00:00,22,84,1.5,240,107,Araçatuba
2014-10-02 01:00:00,21.8,86,1.3,257,107,Araçatuba
2014-10-02 02:00:00,21.2,90,1.2,201,107,Araçatuba
2014-10-02 03:00:00,21.3,88,2.3,174,107,Araçatuba
2014-10-02 04:00:00,21.3,88,4.3,152,107,Araçatuba
2014-10-02 05:00:00,20.7,86,4.8,149,107,Araçatuba
2014-10-02 06:00:00,20.3,86,4.9,147,107,Araçatuba
2014-10-02 07:00:00,20.1,86,4.3,150,107,Araçatuba
2014-10-02 08:00:00,21.1,81,5.2,148,107,Araçatuba
2014-10-02 09:00:00,22.5,74,5.6,146,107,Araçatuba
2014-10-02 10:00:00,23.3,69,6,148,107,Araçatuba
2014-10-02 11:00:00,24.5,66,5.9,149,107,Araçatuba
2014-10-02 12:00:00,26.6,59,5.6,149,107,Araçatuba
2014-10-02 13:00:00,28.5,52,4.9,150,107,Araçatuba
2014-10-02 14:00:00,29.4,49,4.8,152,107,Araçatuba
2014-10-02 15:00:00,30.1,46,4.6,160,107,Araçatuba
2014-10-02 16:00:00,30.5,44,4.7,160,107,Araçatuba
2014-10-02 17:00:00,29.9,45,4.7,169,107,Araçatuba
2014-10-02 18:00:00,28.9,48,4.3,161,107,Araçatuba
2014-10-02 19:00:00,27.2,52,4.2,159,107,Araçatuba
2014-10-02 20:00:00,25.2,55,5.7,156,107,Araçatuba
2014-10-02 21:00:00,23.4,60,5.3,155,107,Araçatuba
2014-10-02 22:00:00,21.7,67,5.5,166,107,Araçatuba
2014-10-02 23:00:00,20.1,66,6.3,153,107,Araçatuba
2014-10-03 00:00:00,18.7,68,6.4,155,107,Araçatuba
2014-10-03 01:00:00,17.6,68,6.3,152,107,Araçatuba
2014-10-03 02:00:00,16.9,70,5.9,152,107,Araçatuba
2014-10-03 03:00:00,16.6,70,6.1,149,107,Araçatuba
2014-10-03 04:00:00,16.3,72,5.7,147,107,Araçatuba
2014-10-03 05:00:00,16.2,73,6.4,149,107,Araçatuba
2014-10-03 06:00:00,16.1,74,5.1,152,107,Araçatuba
2014-10-03 07:00:00,16.1,73,6.3,152,107,Araçatuba
2014-10-03 08:00:00,17.3,69,7.1,152,107,Araçatuba
2014-10-03 09:00:00,19.5,61,7.6,146,107,Araçatuba
2014-10-03 10:00:00,22.1,54,6.2,139,107,Araçatuba
2014-10-03 11:00:00,24.3,49,5.1,139,107,Araçatuba
2014-10-03 12:00:00,25.8,45,5.6,146,107,Araçatuba
2014-10-03 13:00:00,27.2,41,5.7,144,107,Araçatuba
2014-10-03 14:00:00,28.5,38,5.6,151,107,Araçatuba
2014-10-03 15:00:00,29.1,36,4.8,154,107,Araçatuba
2014-10-03 16:00:00,29.6,35,5.1,153,107,Araçatuba
2014-10-03 17:00:00,29.3,35,5.3,154,107,Araçatuba
2014-10-03 18:00:00,27.9,39,4.5,159,107,Araçatuba
2014-10-03 19:00:00,26.3,42,3.2,173,107,Araçatuba
2014-10-03 20:00:00,24.7,44,4.1,152,107,Araçatuba
2014-10-03 21:00:00,23,49,5.2,146,107,Araçatuba
2014-10-03 22:00:00,21.4,53,6.1,150,107,Araçatuba
2014-10-03 23:00:00,19.7,60,5.6,158,107,Araçatuba
2014-10-04 00:00:00,18.1,64,5.8,151,107,Araçatuba
2014-10-04 01:00:00,17,68,6.1,151,107,Araçatuba
2014-10-04 02:00:00,16.2,68,6.1,150,107,Araçatuba
2014-10-04 03:00:00,15.7,71,6.7,149,107,Araçatuba
2014-10-04 04:00:00,15.3,73,6.7,149,107,Araçatuba
2014-10-04 05:00:00,14.9,76,6.1,150,107,Araçatuba
2014-10-04 06:00:00,14.6,77,5.8,151,107,Araçatuba
2014-10-04 07:00:00,14.7,77,5.5,148,107,Araçatuba
