date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,108,NA
2014-10-01 01:00:00,22.9,84,0.8,229,108,Bauru
2014-10-01 02:00:00,22.5,84,1,185,108,Bauru
2014-10-01 03:00:00,21.8,88,0.7,323,108,Bauru
2014-10-01 04:00:00,21.6,88,0.9,207,108,Bauru
2014-10-01 05:00:00,21.3,89,0.7,305,108,Bauru
2014-10-01 06:00:00,21.5,89,0.9,79,108,Bauru
2014-10-01 07:00:00,21.8,85,2.5,175,108,Bauru
2014-10-01 08:00:00,22.1,82,2.9,152,108,Bauru
2014-10-01 09:00:00,24.2,71,3.3,151,108,Bauru
2014-10-01 10:00:00,26.5,62,3.4,147,108,Bauru
2014-10-01 11:00:00,25.4,66,3.3,136,108,Bauru
2014-10-01 12:00:00,28.3,58,2.6,50,108,Bauru
2014-10-01 13:00:00,30.5,51,2.3,24,108,Bauru
2014-10-01 14:00:00,32,43,1.4,332,108,Bauru
2014-10-01 15:00:00,32.8,42,2,289,108,Bauru
2014-10-01 16:00:00,31.5,47,1.9,269,108,Bauru
2014-10-01 17:00:00,28.7,58,3.1,262,108,Bauru
2014-10-01 18:00:00,26.7,64,1.8,202,108,Bauru
2014-10-01 19:00:00,25.6,70,2,146,108,Bauru
2014-10-01 20:00:00,25,73,1.8,158,108,Bauru
2014-10-01 21:00:00,24.3,75,2.1,147,108,Bauru
2014-10-01 22:00:00,24,75,2,152,108,Bauru
2014-10-01 23:00:00,23.6,77,3.5,124,108,Bauru
2014-10-02 00:00:00,22.5,76,4.7,120,108,Bauru
2014-10-02 01:00:00,21.4,73,4.7,124,108,Bauru
2014-10-02 02:00:00,20.6,74,4.9,130,108,Bauru
2014-10-02 03:00:00,20.3,75,4.9,129,108,Bauru
2014-10-02 04:00:00,20.2,75,4.7,120,108,Bauru
2014-10-02 05:00:00,19.9,76,4.2,123,108,Bauru
2014-10-02 06:00:00,19.4,77,4.5,120,108,Bauru
2014-10-02 07:00:00,19.1,78,4.6,125,108,Bauru
2014-10-02 08:00:00,20.2,71,5.5,122,108,Bauru
2014-10-02 09:00:00,21.5,64,6.1,125,108,Bauru
2014-10-02 10:00:00,23.3,58,6.4,130,108,Bauru
2014-10-02 11:00:00,23.8,57,5.9,125,108,Bauru
2014-10-02 12:00:00,24.8,54,5.8,124,108,Bauru
2014-10-02 13:00:00,26.1,49,6,132,108,Bauru
2014-10-02 14:00:00,26.9,47,5.6,127,108,Bauru
2014-10-02 15:00:00,26.9,44,5.8,117,108,Bauru
2014-10-02 16:00:00,26.3,45,5.8,136,108,Bauru
2014-10-02 17:00:00,25.3,48,5.2,131,108,Bauru
2014-10-02 18:00:00,24.2,51,5.7,136,108,Bauru
2014-10-02 19:00:00,21.6,59,5.6,138,108,Bauru
2014-10-02 20:00:00,19.9,62,5.5,134,108,Bauru
2014-10-02 21:00:00,18.5,64,6,129,108,Bauru
2014-10-02 22:00:00,17.6,62,7.3,129,108,Bauru
2014-10-02 23:00:00,16.6,62,7.2,124,108,Bauru
2014-10-03 00:00:00,16,65,6.6,123,108,Bauru
2014-10-03 01:00:00,15.7,68,7.3,125,108,Bauru
2014-10-03 02:00:00,15.6,67,6.4,126,108,Bauru
2014-10-03 03:00:00,15.8,65,6.3,119,108,Bauru
2014-10-03 04:00:00,15.7,66,5.5,124,108,Bauru
2014-10-03 05:00:00,15.5,67,6.6,126,108,Bauru
2014-10-03 06:00:00,15.3,67,6,123,108,Bauru
2014-10-03 07:00:00,15.9,65,5.1,119,108,Bauru
2014-10-03 08:00:00,17.8,58,4.7,108,108,Bauru
2014-10-03 09:00:00,19.5,53,6.1,116,108,Bauru
2014-10-03 10:00:00,21.2,50,6.7,111,108,Bauru
2014-10-03 11:00:00,22.7,47,7.1,110,108,Bauru
2014-10-03 12:00:00,24,45,6.6,121,108,Bauru
2014-10-03 13:00:00,25.3,42,5.6,122,108,Bauru
2014-10-03 14:00:00,26.5,37,5.6,131,108,Bauru
2014-10-03 15:00:00,27,36,5.7,130,108,Bauru
2014-10-03 16:00:00,26.6,36,6.2,125,108,Bauru
2014-10-03 17:00:00,25.6,37,6.2,122,108,Bauru
2014-10-03 18:00:00,23.9,40,5.9,117,108,Bauru
2014-10-03 19:00:00,21.4,49,5.3,134,108,Bauru
2014-10-03 20:00:00,19.1,57,4.9,134,108,Bauru
2014-10-03 21:00:00,17.5,60,5,130,108,Bauru
2014-10-03 22:00:00,16.5,60,6.5,134,108,Bauru
2014-10-03 23:00:00,15.8,63,5.9,132,108,Bauru
2014-10-04 00:00:00,15.5,63,6.4,119,108,Bauru
2014-10-04 01:00:00,15.4,63,5.4,115,108,Bauru
2014-10-04 02:00:00,15.1,65,6.3,110,108,Bauru
