date,tc,rh,ws,wd,code,name
2014-10-01 00:00:00,NA,NA,NA,NA,116,NA
2014-10-01 01:00:00,22.2,96,1.2,54,116,São José do Rio Preto
2014-10-01 02:00:00,21.8,97,1.2,36,116,São José do Rio Preto
2014-10-01 03:00:00,21.5,99,1.2,260,116,São José do Rio Preto
2014-10-01 04:00:00,21.6,99,0.9,292,116,São José do Rio Preto
2014-10-01 05:00:00,21.5,99,1,66,116,São José do Rio Preto
2014-10-01 06:00:00,21.6,99,0.9,38,116,São José do Rio Preto
2014-10-01 07:00:00,21.7,99,0.8,57,116,São José do Rio Preto
2014-10-01 08:00:00,23.1,94,1.2,57,116,São José do Rio Preto
2014-10-01 09:00:00,26.1,80,1.5,60,116,São José do Rio Preto
2014-10-01 10:00:00,28.1,70,2.5,188,116,São José do Rio Preto
2014-10-01 11:00:00,28,67,3.5,203,116,São José do Rio Preto
2014-10-01 12:00:00,29.5,60,3.2,179,116,São José do Rio Preto
2014-10-01 13:00:00,31,54,3.5,154,116,São José do Rio Preto
2014-10-01 14:00:00,32,50,2.7,151,116,São José do Rio Preto
2014-10-01 15:00:00,32.8,46,2.1,170,116,São José do Rio Preto
2014-10-01 16:00:00,33,46,2.5,236,116,São José do Rio Preto
2014-10-01 17:00:00,31.2,51,5.9,245,116,São José do Rio Preto
2014-10-01 18:00:00,25.8,64,7.8,244,116,São José do Rio Preto
2014-10-01 19:00:00,25.8,59,3.2,243,116,São José do Rio Preto
2014-10-01 20:00:00,25.9,60,1.8,50,116,São José do Rio Preto
2014-10-01 21:00:00,25.8,58,3,228,116,São José do Rio Preto
2014-10-01 22:00:00,25.6,59,1.8,242,116,São José do Rio Preto
2014-10-01 23:00:00,24.7,64,2.4,257,116,São José do Rio Preto
2014-10-02 00:00:00,23.7,70,2.4,273,116,São José do Rio Preto
2014-10-02 01:00:00,22.5,76,2.6,272,116,São José do Rio Preto
2014-10-02 02:00:00,22.6,79,2.8,240,116,São José do Rio Preto
2014-10-02 03:00:00,22.7,84,3.1,219,116,São José do Rio Preto
2014-10-02 04:00:00,22.3,84,3.6,174,116,São José do Rio Preto
2014-10-02 05:00:00,21.8,78,3,176,116,São José do Rio Preto
2014-10-02 06:00:00,21.1,77,3,184,116,São José do Rio Preto
2014-10-02 07:00:00,21,74,3.2,160,116,São José do Rio Preto
2014-10-02 08:00:00,21.4,73,3.4,165,116,São José do Rio Preto
2014-10-02 09:00:00,23.6,64,4.2,153,116,São José do Rio Preto
2014-10-02 10:00:00,25.7,57,4,161,116,São José do Rio Preto
